date,symbol,open,high,low,close,volume,avg_spread,ticks
2026-03-19,QQQ,593.27,595.75,587.09,594.05,2381986,0.028096573588586235,41006
2026-03-19,SPY,660.25,662.97,655.2,661.12,2161547,0.04077136219877451,35733
2026-03-19,TSLA,392.0,392.0,378.75,382.33,1265903,0.19526706874146127,30011
2026-03-20,GOOGL,305.26,306.11,298.3,301.11,820016,0.3492463416483438,13207
2026-03-20,MSFT,387.02,387.85,380.12,383.5,896892,0.23169905085959883,22336
2026-03-20,QQQ,594.11,594.11,578.58,586.8,2281417,0.028872648158363524,32634
2026-03-20,SPY,659.24,659.57,644.74,653.35,3343462,0.029448678006062882,47518
2026-03-20,TSLA,383.16,383.9,364.48,371.48,1443422,0.17786399245847187,30763
2026-03-23,GOOGL,303.99,306.8,300.94,301.73,869304,0.3849295879591679,13421
2026-03-23,MSFT,378.18,389.02,378.18,383.7,717523,0.2873123850910917,17949
2026-03-23,QQQ,575.31,595.51,574.42,589.38,2017582,0.03875064251806567,33073
2026-03-23,SPY,642.5,666.75,641.77,656.53,3265625,0.06660234335201252,49101
2026-03-23,TSLA,360.15,385.33,357.0,381.6,1706266,0.1615491930625573,31539
2026-03-24,GOOGL,300.96,300.96,290.335,292.8,1456770,0.18796116007378436,19516
2026-03-24,MSFT,382.04,383.01,371.85,374.6,945621,0.242473096363933,24532
2026-03-24,QQQ,590.09,591.61,581.96,589.19,1408473,0.04935498154981456,20325
2026-03-24,SPY,657.0,660.1,649.9,657.06,2615782,0.03362606445778641,39851
2026-03-24,TSLA,381.99,387.44,376.0,386.1,1115880,0.15417258792510136,22377
2026-03-25,GOOGL,294.01,296.0,289.275,290.1,1148395,0.19393303804064554,15352
2026-03-25,MSFT,375.8,378.5,369.65,370.7,840840,0.23277044314809098,19542
